rank,name,forbes_id,net_worth,age,age_range,country,source,industry,Age,Source of Wealth,Self-Made Score,Philanthropy Score,Residence,Citizenship,Marital Status,Children,Education,Bachelor,Master,Doctorate,Drop Out,Self Made
31,Jacqueline Mars,jacqueline-mars,38.3,83.0,9,United States,"Candy, pet food",Food & Beverage,83.0,"Candy, pet food",2.0,,"The Plains, Virginia",United States,Divorced,3.0,"Bachelor of Arts/Science, Bryn Mawr College",1.0,0.0,0.0,0.0,0
31,John Mars,john-mars,38.3,87.0,9,United States,"Candy, pet food",Food & Beverage,87.0,"Candy, pet food",2.0,,"Jackson, Wyoming",United States,Married,3.0,"Diploma, The Hotchkiss School; Bachelor of Arts/Science, Yale University",1.0,0.0,0.0,0.0,0
33,Li Ka-shing,li-ka-shing,38.0,94.0,10,Hong Kong,Diversified,Diversified,95.0,"Diversified, Self Made",,,Hong Kong,Hong Kong,Widowed,2.0,"Drop Out, High School",0.0,0.0,0.0,1.0,1
34,Ma Huateng,ma-huateng,35.3,51.0,6,China,Internet media,Technology,51.0,"Internet media, Self Made",,,"Shenzhen, China",China,Married,,"Bachelor of Arts/Science, Shenzhen University",1.0,0.0,0.0,0.0,1
35,Miriam Adelson & family,miriam-adelson,35.0,77.0,8,United States,Casinos,Gambling & Casinos,77.0,Casinos,2.0,2.0,"Las Vegas, Nevada",United States,Widowed,5.0,"Bachelor of Science, Hebrew University Jerusalem",1.0,0.0,0.0,0.0,0
35,Ken Griffin,ken-griffin,35.0,54.0,6,United States,Hedge funds,Finance & Investments,54.0,"Hedge funds, Self Made",8.0,1.0,"Miami, Florida",United States,Divorced,3.0,"Bachelor of Arts/Science, Harvard University",1.0,0.0,0.0,0.0,1
37,Mark Mateschitz,mark-mateschitz,34.7,30.0,3,Austria,Red Bull,Food & Beverage,31.0,Red Bull,,,"Salzburg, Austria",Austria,Single,,,,,,,0
38,Robin Zeng,robin-zeng,33.4,54.0,6,Hong Kong,Batteries,Automotive,54.0,"Batteries, Self Made",,,"Ningde, China",Hong Kong,,,"Doctorate, Chinese Academy of Social Sciences",0.0,0.0,1.0,0.0,1
39,Tadashi Yanai & family,tadashi-yanai,32.6,74.0,8,Japan,Fashion retail,Fashion & Retail,74.0,"Fashion retail, Self Made",,,"Tokyo, Japan",Japan,Married,2.0,"Bachelor of Arts/Science, Waseda University",1.0,0.0,0.0,0.0,1
40,Len Blavatnik,len-blavatnik,32.1,65.0,7,United States,"Music, chemicals",Diversified,66.0,"Music, chemicals, Self Made",9.0,2.0,"London, United Kingdom",United States,Married,,"Master of Science, Columbia University; Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, Moscow State University",1.0,1.0,0.0,0.0,1
41,Alain Wertheimer,alain-wertheimer,31.6,74.0,8,France,Chanel,Fashion & Retail,74.0,Chanel,,,"New York, New York",France,Married,3.0,,,,,,0
41,Gerard Wertheimer,gerard-wertheimer-1,31.6,72.0,8,France,Chanel,Fashion & Retail,72.0,Chanel,,,"New York, New York",France,Married,2.0,,,,,,0
43,Gianluigi Aponte,gianluigi-aponte,31.2,82.0,9,Switzerland,Shipping,Logistics,83.0,"Shipping, Self Made",,,"Geneva, Switzerland",Switzerland,Married,2.0,,,,,,1
43,Rafaela Aponte-Diamant,rafaela-aponte-diamant,31.2,78.0,8,Switzerland,Shipping,Logistics,78.0,"Shipping, Self Made",,,"Geneva, Switzerland",Switzerland,Married,2.0,,,,,,1
45,Colin Zheng Huang,colin-zheng-huang,30.2,43.0,5,China,E-commerce,Technology,43.0,"E-commerce, Self Made",,,"Shanghai, China",China,,,"Master, University of Wisconsin Madison; Bachelor of Arts/Science, Zhejiang University",1.0,1.0,0.0,0.0,1
46,Reinhold Wuerth & family,reinhold-wuerth,29.7,87.0,9,Germany,Fasteners,Manufacturing,88.0,"Fasteners, Self Made",,,"Kuenzelsau, Germany",Germany,Married,3.0,,,,,,1
47,Lee Shau Kee,lee-shau-kee,29.5,95.0,10,Hong Kong,Real estate,Real Estate,95.0,"Real estate, Self Made",,,"Hong Kong, Hong Kong",Hong Kong,Divorced,5.0,,,,,,1
48,Jeff Yass,jeff-yass,28.5,64.0,7,United States,"Trading, investments",Finance & Investments,65.0,"Trading, investments, Self Made",8.0,1.0,"Haverford, Pennsylvania",United States,Married,4.0,"Bachelor of Science, SUNY Binghamton",1.0,0.0,0.0,0.0,1
49,Jim Simons,jim-simons,28.1,84.0,9,United States,Hedge funds,Finance & Investments,85.0,"Hedge funds, Self Made",8.0,4.0,"East Setauket, New York",United States,Married,3.0,"Bachelor of Arts/Science, Massachusetts Institute of Technology; Doctorate, University of California, Berkeley",1.0,0.0,1.0,0.0,1
50,Stephen Schwarzman,stephen-schwarzman,27.8,76.0,8,United States,Investments,Finance & Investments,76.0,"Investments, Self Made",8.0,2.0,"New York, New York",United States,Married,3.0,"Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, Yale University",1.0,1.0,0.0,0.0,1
51,Susanne Klatten,susanne-klatten,27.4,60.0,6,Germany,"BMW, pharmaceuticals",Automotive,61.0,"BMW, pharmaceuticals",,,"Bad Homburg, Germany",Germany,Married,3.0,"Master of Business Administration, International Institute for Management and Development",0.0,1.0,0.0,0.0,0
52,Gina Rinehart,gina-rinehart,27.0,69.0,7,Australia,Mining,Metals & Mining,69.0,Mining,,,"Perth, Australia",Australia,Widowed,4.0,,,,,,0
53,William Ding,william-ding,26.7,51.0,6,China,Online games,Technology,51.0,"Online games, Self Made",,,"Hangzhou, China",China,,,"Bachelor of Arts/Science, University of Electronic Science and Technology of China",1.0,0.0,0.0,0.0,1
54,Germán Larrea Mota Velasco & family,german-larrea-mota-velasco,26.6,69.0,7,Mexico,Mining,Metals & Mining,69.0,Mining,,,"Mexico City, Mexico",Mexico,Married,,,,,,,0
55,Shiv Nadar,shiv-nadar,25.6,77.0,8,India,software services,Technology,78.0,"software services, Self Made",,,"Delhi, India",India,Married,1.0,"Bachelor of Arts/Science, PSG College of Technology",1.0,0.0,0.0,0.0,1
56,Low Tuck Kwong,low-tuck-kwong,25.5,74.0,8,Indonesia,Coal,Energy,75.0,"Coal, Self Made",,,"Jakarta, Indonesia",Indonesia,Married,2.0,,,,,,1
57,Thomas Peterffy,thomas-peterffy,25.3,78.0,8,United States,Discount brokerage,Finance & Investments,78.0,"Discount brokerage, Self Made",10.0,1.0,"Palm Beach, Florida",United States,Divorced,3.0,"Drop Out, New York University",0.0,0.0,0.0,1.0,1
58,Andrey Melnichenko & family,andrey-melnichenko,25.2,51.0,6,Russia,"Fertilizers, coal",Metals & Mining,51.0,"Fertilizers, coal, Self Made",,,"Ras Al Khaimah, United Arab Emirates",Russia,Married,2.0,"Master of Science, Plekhanov Russian University of Economics",0.0,1.0,0.0,0.0,1
59,Stefan Quandt,stefan-quandt,24.6,56.0,6,Germany,BMW,Automotive,57.0,BMW,,,"Frankfurt, Germany",Germany,Married,1.0,"Associate in Arts/Science, Technical University of Karlsruhe",0.0,0.0,0.0,0.0,0
60,MacKenzie Scott,mackenzie-scott,24.4,52.0,6,United States,Amazon,Technology,53.0,Amazon,3.0,5.0,"Seattle, Washington",United States,Divorced,4.0,"Bachelor of Arts/Science, Princeton University",1.0,0.0,0.0,0.0,0
61,R. Budi Hartono,r-budi-hartono,24.2,82.0,9,Indonesia,"Banking, tobacco",Finance & Investments,82.0,"Banking, tobacco",,,"Kudus, Indonesia",Indonesia,Married,3.0,,,,,,0
62,Vladimir Potanin,vladimir-potanin,23.7,62.0,7,Russia,Metals,Metals & Mining,62.0,"Metals, Self Made",,,"Moscow, Russia",Russia,Married,7.0,"Masters in Finance, Moscow Institute of International Relations",0.0,1.0,0.0,0.0,1
63,Jack Ma,jack-ma,23.5,58.0,6,China,E-commerce,Technology,58.0,"E-commerce, Self Made",,,"Hangzhou, China",China,Married,,"Bachelor of Arts/Science, Hangzhou Teacher's Institute",1.0,0.0,0.0,0.0,1
64,He Xiangjian & family,he-xiangjian,23.4,80.0,8,China,Home appliances,Manufacturing,81.0,"Home appliances, Self Made",,,"Foshan, China",China,Married,3.0,,,,,,1
65,Iris Fontbona & family,iris-fontbona,23.1,80.0,8,Chile,Mining,Metals & Mining,80.0,Mining,,,"Santiago, Chile",Chile,Widowed,3.0,,,,,,0
65,Michael Hartono,michael-hartono,23.1,83.0,9,Indonesia,"Banking, tobacco",Manufacturing,83.0,"Banking, tobacco",,,"Kudus, Indonesia",Indonesia,Married,4.0,,,,,,0
67,James Ratcliffe,james-ratcliffe,22.9,70.0,7,United Kingdom,Chemicals,Manufacturing,70.0,"Chemicals, Self Made",,,"London, United Kingdom",United Kingdom,Married,,,,,,,1
68,Cyrus Poonawalla,cyrus-poonawalla,22.6,81.0,9,India,Vaccines,Healthcare,82.0,Vaccines,,,"Pune, India",India,Widowed,1.0,"Bachelor of Arts/Science, Pune University; Doctorate, Pune University",1.0,0.0,1.0,0.0,0
69,Masayoshi Son,masayoshi-son,22.4,65.0,7,Japan,"Internet, telecom",Telecom,66.0,"telecom, investments, Self Made",,,"Tokyo, Japan",Japan,Married,2.0,"Bachelor of Arts/Science, University of California, Berkeley",1.0,0.0,0.0,0.0,1
70,Vladimir Lisin,vladimir-lisin,22.1,66.0,7,Russia,"Steel, transport",Metals & Mining,67.0,"Steel, transport, Self Made",,,"Moscow, Russia",Russia,Married,3.0,"Doctorate, Russian Academy of Economics; Bachelor of Arts/Science, Siberian Metallurgical Institute",1.0,0.0,1.0,0.0,1
71,Emmanuel Besnier,emmanuel-besnier,22.0,52.0,6,France,Cheese,Food & Beverage,52.0,Cheese,,,"Laval, France",France,,,,,,,,0
72,Abigail Johnson,abigail-johnson,21.6,61.0,7,United States,Fidelity,Finance & Investments,61.0,Fidelity,4.0,1.0,"Milton, Massachusetts",United States,Married,2.0,"Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, Hobart and William Smith",1.0,1.0,0.0,0.0,0
72,Leonid Mikhelson & family,leonid-mikhelson,21.6,67.0,7,Russia,"Gas, chemicals",Energy,68.0,"Gas, chemicals, Self Made",,,"Moscow, Russia",Russia,Married,2.0,"Master of Science in Engineering, Kuybyshev Engineering and Construction Institute",0.0,1.0,0.0,0.0,1
74,Lukas Walton,lukas-walton,21.2,36.0,4,United States,Walmart,Fashion & Retail,36.0,Walmart,1.0,1.0,"Chicago, Illinois",United States,Married,,"Bachelor of Arts/Science, Colorado College",1.0,0.0,0.0,0.0,0
74,Wang Wei,wang-wei,21.2,52.0,6,China,Package delivery,Service,52.0,"Package delivery, Self Made",,,"Shenzhen, China",China,,,,,,,,1
76,Jensen Huang,jensen-huang-1,21.1,60.0,6,United States,Semiconductors,Technology,60.0,"Semiconductors, Self Made",8.0,1.0,"Los Altos, California",United States,Married,,"Bachelor of Science in Engineering, Oregon State University; Master of Science in Engineering, Stanford University",1.0,1.0,0.0,0.0,1
77,Leonard Lauder,leonard-lauder,21.0,90.0,9,United States,Estee Lauder,Fashion & Retail,90.0,Estee Lauder,5.0,3.0,"New York, New York",United States,"Widowed, Remarried",2.0,"Bachelor of Arts/Science, University of Pennsylvania",1.0,0.0,0.0,0.0,0
77,Takemitsu Takizaki,takemitsu-takizaki,21.0,77.0,8,Japan,Sensors,Manufacturing,78.0,"Sensors, Self Made",,,"Osaka, Japan",Japan,Married,,,,,,,1
79,Alexey Mordashov & family,alexey-mordashov,20.9,57.0,6,Russia,"Steel, investments",Metals & Mining,57.0,"Steel, investments, Self Made",,,"Moscow, Russia",Russia,Married,7.0,"Master of Science in Engineering, Leningrad Institute of Economics; Master of Business Administration, University of Northumbria",0.0,1.0,0.0,0.0,1
80,Vagit Alekperov,vagit-alekperov,20.5,72.0,8,Russia,Oil,Energy,72.0,"Oil, Self Made",,,"Moscow, Russia",Russia,Married,1.0,"Master of Science in Engineering, Azerbaijan Institute of Oil and Chemistry",0.0,1.0,0.0,0.0,1
81,"Thomas Frist, Jr. & family",thomas-frist-jr,20.2,84.0,9,United States,Hospitals,Healthcare,85.0,"Hospitals, Self Made",7.0,1.0,"Nashville, Tennessee",United States,Married,3.0,"Bachelor of Arts/Science, Vanderbilt University; Medical Doctor, Washington University",1.0,0.0,0.0,0.0,1
82,Andrew Forrest,andrew-forrest,19.6,61.0,7,Australia,Mining,Metals & Mining,61.0,"Mining, Self Made",,,"Perth, Australia",Australia,Separated,3.0,"Bachelor of Arts/Science, University of Western Australia; Ph.D, University of Western Australia",1.0,0.0,0.0,0.0,1
83,Ray Dalio,ray-dalio,19.1,73.0,8,United States,Hedge funds,Finance & Investments,74.0,"Hedge funds, Self Made",8.0,3.0,"Greenwich, Connecticut",United States,Married,4.0,"Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, Long Island University",1.0,1.0,0.0,0.0,1
84,Li Eric,li-eric,19.0,59.0,6,China,Automobiles,Automotive,60.0,"Automobiles, Self Made",,,"Hangzhou, China",China,Married,2.0,"Master of Science, Yanshan University",0.0,1.0,0.0,0.0,1
84,Wang Wenyin,wang-wenyin,19.0,55.0,6,China,"Mining, copper products",Metals & Mining,55.0,"Mining, copper products, Self Made",,,"Shenzhen, China",China,,,,,,,,1
86,Eyal Ofer,eyal-ofer,18.9,72.0,8,Israel,"Real estate, shipping",Diversified,73.0,"Real estate, shipping",,,"Monte Carlo, Monaco",Israel,Married,4.0,,,,,,0
86,Qin Yinglin,qin-yinglin,18.9,57.0,6,China,Pig breeding,Food & Beverage,58.0,"Pig breeding, Self Made",,,"Nanyang, China",China,Married,1.0,,,,,,1
88,Wang Chuanfu,wang-chuanfu,18.7,57.0,6,China,"Batteries, automobiles",Automotive,57.0,"Batteries, automobiles, Self Made",,,"Shenzhen, China",China,Married,,"Master of Science, Beijing Non-Ferrous Research Institute; Bachelor of Arts/Science, Central South Industrial University of Technology",1.0,1.0,0.0,0.0,1
89,Harold Hamm & family,harold-hamm,18.5,77.0,8,United States,Oil & gas,Energy,77.0,"Oil & gas, Self Made",10.0,1.0,"Oklahoma City, Oklahoma",United States,Divorced,5.0,"Diploma, High School",0.0,0.0,0.0,0.0,1
89,David Tepper,david-tepper,18.5,65.0,7,United States,Hedge funds,Finance & Investments,65.0,"Hedge funds, Self Made",8.0,2.0,"Palm Beach, Florida",United States,Married,3.0,"Master of Business Administration, David A. Tepper School of Business; Bachelor of Arts/Science, University of Pittsburgh",1.0,1.0,0.0,0.0,1
89,Gennady Timchenko,gennady-timchenko,18.5,70.0,7,Russia,"Oil, gas",Energy,70.0,"Oil, gas, Self Made",,,"Moscow, Russia",Russia,Married,3.0,"Master of Science in Engineering, Leningrad Mechanical Institute",0.0,1.0,0.0,0.0,1
92,Daniel Gilbert,daniel-gilbert,18.0,61.0,7,United States,Quicken Loans,Finance & Investments,61.0,"Quicken Loans, Self Made",8.0,1.0,"Franklin, Michigan",United States,Married,5.0,"Bachelor of Arts/Science, Michigan State University; LLB, Wayne State University",1.0,0.0,0.0,0.0,1
93,Lakshmi Mittal,lakshmi-mittal,17.7,72.0,8,India,Steel,Metals & Mining,73.0,Steel,,,"London, United Kingdom",India,Married,2.0,"Bachelor of Arts/Science, St Xavier's College Calcutta",1.0,0.0,0.0,0.0,0
94,Steve Cohen,steve-cohen,17.5,66.0,7,United States,Hedge funds,Finance & Investments,67.0,"Hedge funds, Self Made",8.0,3.0,"Greenwich, Connecticut",United States,Married,7.0,"Bachelor of Arts/Science, University of Pennsylvania, The Wharton School",1.0,0.0,0.0,0.0,1
94,Carl Icahn,carl-icahn,17.5,87.0,9,United States,Investments,Finance & Investments,87.0,"Investments, Self Made",9.0,2.0,"Indian Creek, Florida",United States,Married,2.0,"Drop Out, New York University; Bachelor of Arts/Science, Princeton University",1.0,0.0,0.0,1.0,1
94,Savitri Jindal & family,savitri-jindal,17.5,73.0,8,India,Steel,Metals & Mining,73.0,Steel,,,"Hisar, India",India,Widowed,9.0,,,,,,0
97,Donald Bren,donald-bren,17.4,90.0,9,United States,Real estate,Real Estate,91.0,"Real estate, Self Made",8.0,4.0,"Newport Beach, California",United States,Married,7.0,"Bachelor of Arts/Science, University of Washington",1.0,0.0,0.0,0.0,1
97,"John Menard, Jr.",john-menard-jr,17.4,83.0,9,United States,Home improvement stores,Fashion & Retail,83.0,"Home improvement stores, Self Made",9.0,1.0,"Eau Claire, Wisconsin",United States,Married,6.0,"Bachelor of Arts/Science, University of Wisconsin, Eau Claire",1.0,0.0,0.0,0.0,1
99,Rupert Murdoch & family,rupert-murdoch,17.1,92.0,10,United States,"Newspapers, TV network",Media & Entertainment,92.0,"Newspapers, TV network",5.0,1.0,"New York, New York",United States,Married,6.0,"Bachelor of Arts/Science, Oxford University; Master of Arts, Oxford University",1.0,1.0,0.0,0.0,0
100,Vicky Safra & family,vicky-safra,16.7,70.0,7,Brazil,Banking,Finance & Investments,70.0,Banking,,,"Crans-Montana, Switzerland",Brazil,Widowed,4.0,,,,,,0
101,"Theo Albrecht, Jr. & family",theo-albrecht-jr,16.5,72.0,8,Germany,"Aldi, Trader Joe's",Fashion & Retail,72.0,"Aldi, Trader Joe's",,,"Mulheim an der Ruhr, Germany",Germany,,1.0,,,,,,0
101,Renata Kellnerova & family,renata-kellnerova,16.5,55.0,6,Czech Republic,"Finance, telecommunications",Finance & Investments,56.0,"Finance, telecommunications",,,"Prague, Czech Republic",Czech Republic,Widowed,4.0,,,,,,0
103,Li Xiting,li-xiting,16.3,72.0,8,Singapore,medical devices,Healthcare,72.0,"medical devices, Self Made",,,"Shenzhen, China",Singapore,,,"Bachelor of Science, University of Science and Technology of China",1.0,0.0,0.0,0.0,1
104,Stefan Persson,stefan-persson,16.2,75.0,8,Sweden,H&M,Fashion & Retail,75.0,H&M,,,"Stockholm, Sweden",Sweden,Married,3.0,"Associate in Arts/Science, University of Stockholm",0.0,0.0,0.0,0.0,0
104,Eric Schmidt,eric-schmidt,16.2,67.0,7,United States,Google,Technology,68.0,"Google, Self Made",6.0,2.0,"Atherton, California",United States,Married,2.0,"Bachelor of Arts/Science, Princeton University; Doctorate, University of California, Berkeley; Master of Science, University of California, Berkeley",1.0,1.0,1.0,0.0,1
106,Michael Platt,michael-platt,16.0,55.0,6,United Kingdom,Hedge funds,Finance & Investments,55.0,"Hedge funds, Self Made",,,"Geneva, Switzerland",United Kingdom,,,"Bachelor of Arts/Science, London School of Economics; Bachelor of Arts/Science, London School of Economics",1.0,0.0,0.0,0.0,1
107,Pang Kang,pang-kang,15.9,67.0,7,China,Soy sauce,Food & Beverage,67.0,"Soy sauce, Self Made",,,"Foshan, China",China,,,,,,,,1
108,Karl Albrecht Jr. & family,karl-albrecht-jr,15.8,,0,Germany,Supermarkets,Fashion & Retail,,Supermarkets,,,Germany,Germany,,,,,,,,0
108,Beate Heister,beate-heister,15.8,,0,Germany,Supermarkets,Fashion & Retail,,Supermarkets,,,,Germany,,,,,,,,0
108,Jorge Paulo Lemann & family,jorge-paulo-lemann,15.8,83.0,9,Brazil,Beer,Food & Beverage,84.0,"Beer, Self Made",,,"Zurich, Switzerland",Brazil,Married,5.0,"Bachelor of Arts/Science, Harvard University",1.0,0.0,0.0,0.0,1
108,Peter Woo,peter-woo,15.8,76.0,8,Hong Kong,Real estate,Real Estate,76.0,Real estate,,,"Hong Kong, Hong Kong",Hong Kong,Married,3.0,"Master of Business Administration, Columbia Business School",0.0,1.0,0.0,0.0,0
112,Dilip Shanghvi,dilip-shanghvi,15.6,67.0,7,India,Pharmaceuticals,Healthcare,67.0,"Pharmaceuticals, Self Made",,,"Mumbai, India",India,Married,2.0,"Bachelor of Arts/Science, Calcutta University",1.0,0.0,0.0,0.0,1
113,Robert Pera,robert-pera,15.5,45.0,5,United States,Wireless networking,Technology,45.0,"Wireless networking, Self Made",8.0,1.0,"San Jose, California",United States,Single,,"Bachelor of Arts/Science, University of California, San Diego; Master of Science, University of California, San Diego",1.0,1.0,0.0,0.0,1
114,Radhakishan Damani,radhakishan-damani-1,15.3,68.0,7,India,"Retail, investments",Fashion & Retail,68.0,"Retail, investments, Self Made",,,"Mumbai, India",India,Married,3.0,,,,,,1
115,Huang Shilin,huang-shilin,15.2,56.0,6,China,Batteries,Automotive,56.0,"Batteries, Self Made",,,"Ningde, China",China,,,"Bachelor of Technology, Hefei University of Technology",1.0,0.0,0.0,0.0,1
